weeks,date_cell,trace_file_name_25,trace_file_name_4half,cap,peak_25,peak_4half
12.1,10/29/2015 Cell 1,15o29003.xlsx,15o29002.xlsx,290,43.7455172413793,47.05
12.1,10/29/2015 Cell 3,15o29010.xlsx,15o29009.xlsx,227,59.2740088105727,63.29
12.1,10/29/2015 Cell 4,15o29013.xlsx,15o29012.xlsx,168,76.6755952380952,71.66
12.1,10/29/2015 Cell 5,15o29016.xlsx,15o29015.xlsx,139,28.673381294964,29.42
12.1,10/29/2015 Cell 7,15o29022.xlsx,15o29021.xlsx,217,56.0004608294931,56.58
12.1,10/29/2015 Cell 8,15o29025.xlsx,15o29024.xlsx,286,32.4596153846154,32.67
12.1,10/29/2015 Cell 9,15o29028.xlsx,15o29027.xlsx,185,49.7518918918919,48.25
12.3,11/10/2015 Cell 1,15n10003.xlsx,15n10002.xlsx,188,50.6624468085106,49.79
12.3,11/10/2015 Cell 3,15n10007.xlsx,15n10006.xlsx,169,83.8603550295858,91.37
12.3,11/10/2015 Cell 4,15n10010.xlsx,15n10009.xlsx,260,45.7530769230769,43.55
12.3,11/10/2015 Cell 5,15n10013.xlsx,15n10012.xlsx,168,23.8509523809524,23.07
13,10/26/2015 Cell 1,15o26003.xlsx,15o26002.xlsx,246,27.8876016260163,28.61
13,10/26/2015 Cell 2,15o26006.xlsx,15o26005.xlsx,195,46.8249230769231,46.48
13,10/26/2015 Cell 3,15o26009.xlsx,15o26008.xlsx,197,64.6908629441624,68.61
13,10/26/2015 Cell 5,15o26015.xlsx,15o26014.xlsx,215,97.5711627906977,94.22
13,10/26/2015 Cell 6,15o26018.xlsx,15o26017.xlsx,192,70.8739583333333,72.97
13,10/26/2015 Cell 7,15o26021.xlsx,15o26020.xlsx,194,50.810206185567,50.78
13,10/26/2015 Cell 8,15o26024.xlsx,15o26023.xlsx,203,60.9448275862069,59.76
13,10/26/2015 Cell 11,15o26032.xlsx,15o26031.xlsx,201,65.6661691542289,63.34
13,10/20/2015 Cell 1,15o20003.xlsx,15o20002.xlsx,198,52.8661616161616,49.72
13,10/20/2015 Cell 2,15o20006.xlsx,15o20005.xlsx,160,34.7328125,34.73
13,10/20/2015 Cell 4,15o20011.xlsx,15o20010.xlsx,295,55.3040677966102,65.98
13,10/20/2015 Cell 6,15o20016.xlsx,15o20015.xlsx,212,47.9212264150943,49.78
13.1,10/21/2015 Cell 1,15o21004.xlsx,15o21003.xlsx,282,36.5127659574468,39.85
13.1,10/21/2015 Cell 3,15o21009.xlsx,15o21008.xlsx,206,76.5606796116505,74.68
13.3,10/22/2015 Cell 1,15o22003.xlsx,15o22002.xlsx,167,26.862754491018,27.59
13.3,10/22/2015 Cell 2,15o22006.xlsx,NA,225,35.3596888888889,NA
13.3,10/22/2015 Cell 3,15o22009.xlsx,15o22008.xlsx,134,15.2360447761194,14.96
15.3,11/23/2015 Cell 1,15n23003.xlsx,15n23002.xlsx,262,64.3316793893129,68.58
15.3,11/23/2015 Cell 2,15n23006.xlsx,15n23005.xlsx,193,57.1455958549223,56.64
15.3,11/23/2015 Cell 3,15n23009.xlsx,15n23008.xlsx,222,44.6354054054054,44.43
15.3,11/23/2015 Cell 4,15n23012.xlsx,15n23011.xlsx,180,79.3288888888889,78.51
15.3,11/23/2015 Cell 5,15n23015.xlsx,15n23014.xlsx,180,69.6816666666667,69.95
15.3,11/23/2015 Cell 7,15n23020.xlsx,15n23019.xlsx,170,47.5355882352941,48.07
15.3,11/23/2015 Cell 8,15n23023.xlsx,15n23022.xlsx,252,51.5043650793651,46.48
